path,label,split
train/bird/00110.png,bird,train
train/bird/00325.png,bird,train
train/bird/00396.png,bird,train
train/bird/00405.png,bird,train
train/bird/00475.png,bird,train
train/bird/00818.png,bird,train
train/bird/00855.png,bird,train
train/bird/00988.png,bird,train
train/bird/01045.png,bird,train
train/bird/01058.png,bird,train
train/bird/01280.png,bird,train
train/bird/01318.png,bird,train
train/bird/01874.png,bird,train
train/bird/01884.png,bird,train
train/bird/01941.png,bird,train
train/bird/02106.png,bird,train
train/bird/02330.png,bird,train
train/bird/02332.png,bird,train
train/bird/02419.png,bird,train
train/bird/02792.png,bird,train
train/bird/02807.png,bird,train
train/bird/02908.png,bird,train
train/bird/03270.png,bird,train
train/bird/03276.png,bird,train
train/bird/03649.png,bird,train
train/bird/03680.png,bird,train
train/bird/04219.png,bird,train
train/bird/04698.png,bird,train
train/bird/04747.png,bird,train
train/bird/05107.png,bird,train
train/bird/05126.png,bird,train
train/bird/05226.png,bird,train
train/bird/05310.png,bird,train
train/bird/05466.png,bird,train
train/bird/05482.png,bird,train
train/bird/05493.png,bird,train
train/bird/05841.png,bird,train
train/bird/05955.png,bird,train
train/bird/06070.png,bird,train
train/bird/06185.png,bird,train
train/bird/06305.png,bird,train
train/bird/06408.png,bird,train
train/bird/06426.png,bird,train
train/bird/06481.png,bird,train
train/bird/06657.png,bird,train
train/bird/06675.png,bird,train
train/bird/06825.png,bird,train
train/bird/06920.png,bird,train
train/bird/07143.png,bird,train
train/bird/07243.png,bird,train
train/bird/07305.png,bird,train
train/bird/07336.png,bird,train
train/bird/07488.png,bird,train
train/bird/07647.png,bird,train
train/bird/07684.png,bird,train
train/bird/07713.png,bird,train
train/bird/07754.png,bird,train
train/bird/07811.png,bird,train
train/bird/07828.png,bird,train
train/bird/07878.png,bird,train
train/bird/07925.png,bird,train
train/bird/08063.png,bird,train
train/bird/08216.png,bird,train
train/bird/08234.png,bird,train
train/bird/08352.png,bird,train
train/bird/08459.png,bird,train
train/bird/08558.png,bird,train
train/bird/08560.png,bird,train
train/bird/08573.png,bird,train
train/bird/08664.png,bird,train
train/bird/08676.png,bird,train
train/bird/09082.png,bird,train
train/bird/09112.png,bird,train
train/bird/09178.png,bird,train
train/bird/09242.png,bird,train
train/bird/09360.png,bird,train
train/bird/09535.png,bird,train
train/bird/09648.png,bird,train
train/bird/09786.png,bird,train
train/bird/09857.png,bird,train
train/bird/10009.png,bird,train
train/bird/10102.png,bird,train
train/bird/10145.png,bird,train
train/bird/10220.png,bird,train
train/bird/10226.png,bird,train
train/bird/10260.png,bird,train
train/bird/10457.png,bird,train
train/bird/10545.png,bird,train
train/bird/10651.png,bird,train
train/bird/10696.png,bird,train
train/bird/11131.png,bird,train
train/bird/11247.png,bird,train
train/bird/11637.png,bird,train
train/bird/11841.png,bird,train
train/bird/11860.png,bird,train
train/bird/11973.png,bird,train
train/bird/12014.png,bird,train
train/bird/12170.png,bird,train
train/bird/12228.png,bird,train
train/bird/12373.png,bird,train
train/bird/12987.png,bird,train
train/bird/13128.png,bird,train
train/bird/13158.png,bird,train
train/bird/13288.png,bird,train
train/bird/13315.png,bird,train
train/bird/13496.png,bird,train
train/bird/13632.png,bird,train
train/bird/13788.png,bird,train
train/bird/14074.png,bird,train
train/bird/14134.png,bird,train
train/bird/14210.png,bird,train
train/bird/14223.png,bird,train
train/bird/14272.png,bird,train
train/bird/14334.png,bird,train
train/bird/14742.png,bird,train
train/bird/14935.png,bird,train
train/bird/15145.png,bird,train
train/bird/15183.png,bird,train
train/bird/15195.png,bird,train
train/bird/15296.png,bird,train
train/bird/15354.png,bird,train
train/bird/15665.png,bird,train
train/bird/15901.png,bird,train
train/bird/16155.png,bird,train
train/bird/16308.png,bird,train
train/bird/16390.png,bird,train
train/bird/16398.png,bird,train
train/bird/16426.png,bird,train
train/bird/16651.png,bird,train
train/bird/16758.png,bird,train
train/bird/16760.png,bird,train
train/bird/16762.png,bird,train
train/bird/17253.png,bird,train
train/bird/17264.png,bird,train
train/bird/17542.png,bird,train
train/bird/17555.png,bird,train
train/bird/17560.png,bird,train
train/bird/17599.png,bird,train
train/bird/17764.png,bird,train
train/bird/17795.png,bird,train
train/bird/18108.png,bird,train
train/bird/18397.png,bird,train
train/bird/18479.png,bird,train
train/bird/18521.png,bird,train
train/bird/18618.png,bird,train
train/bird/18770.png,bird,train
train/bird/18814.png,bird,train
train/bird/19087.png,bird,train
train/bird/19181.png,bird,train
train/bird/19483.png,bird,train
train/bird/19548.png,bird,train
train/bird/19906.png,bird,train
train/bird/20241.png,bird,train
train/bird/20378.png,bird,train
train/bird/20409.png,bird,train
train/bird/20433.png,bird,train
train/bird/20461.png,bird,train
train/bird/20588.png,bird,train
train/bird/20594.png,bird,train
train/bird/20612.png,bird,train
train/bird/20842.png,bird,train
train/bird/21089.png,bird,train
train/bird/21099.png,bird,train
